Industry Sector,Application Group,Development Type,Development Platform,Language Type,Primary Programming Language,Functional Size,Adjusted Function Points,Normalised Work Effort Level 1,Project Elapsed Time,1st Data Base System,Used Methodology
Government,Business Application,Enhancement,MF,3GL,COBOL,80.0,74.0,869.0,1.0,DB2,Yes
Government,Business Application,New Development,MF,3GL,COBOL,121.0,122.0,2703.0,7.0,DB2,Yes
Insurance,Business Application,Enhancement,MF,3GL,Java,155.0,155.0,1974.0,3.0,IMS,Don't Know
Manufacturing,Business Application,Enhancement,Multi,4GL,SQL,126.0,126.0,1442.0,12.0,ORACLE,Don't Know
Government,Business Application,New Development,Multi,3GL,Java,51.0,51.0,3712.0,12.0,ORACLE,Yes
Communication,Real-Time Application,Enhancement,PC,4GL,Visual Basic,70.0,73.0,764.0,3.0,ACCESS,Yes
Professional Services,Business Application,New Development,MF,3GL,COBOL,755.0,755.0,7350.0,24.0,DB2,No
Government,Business Application,New Development,PC,4GL,ASP,795.0,795.0,2187.0,9.0,MS SQL,Yes
Government,Business Application,New Development,Multi,3GL,Java,127.0,127.0,1536.0,6.0,ORACLE,Yes
Communication,Real-Time Application,Enhancement,PC,3GL,Pro*C,137.0,151.0,2194.0,3.0,ORACLE,Yes
Insurance,Business Application,Enhancement,Multi,4GL,Visual Basic,251.0,251.0,1716.0,2.9,MS SQL,Don't Know
Utilities,Business Application,Re-development,MF,3GL,PL/I,125.0,100.0,330.0,11.0,DB2,Yes
Manufacturing,Business Application,New Development,Multi,4GL,Visual Basic,1387.0,1387.0,1225.0,2.7,ORACLE,Don't Know
Service Industry,Business Application,Enhancement,Multi,3GL,C#,219.0,219.0,3080.0,12.0,DB2,Yes
Banking,Business Application,New Development,PC,3GL,C,29.0,29.0,395.0,6.0,Yes,Don't Know
Manufacturing,Business Application,New Development,PC,3GL,Java,246.0,246.0,742.0,5.0,DB2,Don't Know
Communication,Real-Time Application,Enhancement,PC,3GL,Pro*C,58.0,55.0,534.0,11.0,ORACLE,Yes
Manufacturing,Business Application,New Development,MR,3GL,Java,473.0,473.0,2000.0,2.0,ORACLE,Don't Know
Government,Business Application,Enhancement,MF,3GL,COBOL,32.0,31.0,300.0,2.0,DB2,Yes
Government,Business Application,New Development,MF,3GL,COBOL,138.0,138.0,2038.0,3.0,DB2,Yes
Government,Business Application,Enhancement,MF,3GL,PL/I,198.0,198.0,2119.0,10.0,DB2,Yes
Banking,Business Application,New Development,MF,3GL,COBOL,301.0,301.0,3631.0,12.0,IMS,Yes
Insurance,Business Application,Enhancement,Multi,3GL,Visual Basic,180.0,180.0,9292.0,3.0,Unspecified,Don't Know
Service Industry,Business Application,Enhancement,Multi,3GL,Visual Basic,361.0,361.0,13151.0,24.0,DB2,Yes
Government,Business Application,New Development,Multi,3GL,Java,260.0,260.0,4184.0,9.0,ORACLE,Yes
Insurance,Business Application,Enhancement,MR,3GL,Java,18.0,18.0,2803.0,3.0,DB2,Don't Know
Insurance,Business Application,New Development,MF,3GL,COBOL,157.0,157.0,3436.0,2.0,DB2,Don't Know
Banking,Business Application,New Development,MF,4GL,Visual Basic,385.0,385.0,2761.0,7.0,ACCESS,Yes
Banking,Business Application,New Development,MF,3GL,COBOL,124.0,124.0,616.0,4.0,IMS,Yes
Communication,Business Application,Enhancement,MR,4GL,Visual Basic,261.0,264.0,2639.0,6.0,ORACLE,Yes
Manufacturing,Business Application,New Development,Multi,4GL,Visual Basic,177.0,177.0,1570.0,1.8,ORACLE,Don't Know
Manufacturing,Business Application,New Development,Multi,3GL,Visual Basic,2845.0,2845.0,28422.0,10.0,ORACLE,Don't Know
Manufacturing,Business Application,New Development,Multi,4GL,Visual Basic,2509.0,2509.0,19989.0,10.0,ORACLE,Don't Know
Manufacturing,Business Application,New Development,MF,3GL,RPG,381.0,381.0,816.0,2.0,DB2,Don't Know
Government,Mathematically-Intensive Application,Re-development,Multi,4GL,ABAP,489.0,489.0,3907.0,19.0,DB2,Yes
Banking,Business Application,New Development,MF,4GL,EASYTRIEVE,95.0,95.0,1231.0,7.0,IMS,Yes
Insurance,Business Application,New Development,PC,3GL,Java,94.0,94.0,1830.0,3.4,Yes,Don't Know
Wholesale & Retail,Business Application,Enhancement,MR,4GL,ABAP,1160.0,1160.0,16960.0,7.1,ORACLE,Don't Know
Government,Business Application,Enhancement,MF,3GL,COBOL,41.0,41.0,666.0,5.0,DB2,Yes
Government,Business Application,New Development,MF,3GL,COBOL,160.0,171.0,4742.0,9.0,DB2,Yes
Communication,Business Application,Enhancement,PC,3GL,Java,98.0,98.0,184.0,1.0,Solid,Don't Know
Insurance,Business Application,Enhancement,MF,3GL,COBOL,3622.0,3622.0,14573.0,5.0,IMS,Yes
Communication,Business Application,Enhancement,MR,3GL,C++,299.0,322.0,5242.0,13.0,ORACLE,Yes
Service Industry,Business Application,New Development,Multi,3GL,C#,274.0,274.0,6910.0,9.0,DB2,Yes
Communication,Real-Time Application,Enhancement,Multi,3GL,C++,116.0,151.0,1400.0,7.0,ORACLE,Yes
Government,Business Application,Enhancement,Multi,3GL,PL/I,335.0,335.0,19706.0,27.0,DB2,Yes
Banking,Business Application,New Development,MF,4GL,EASYTRIEVE,72.0,72.0,1824.0,4.0,IMS,Yes
Insurance,Business Application,Enhancement,Multi,3GL,Visual Basic,365.0,365.0,8277.0,3.0,Unspecified,Don't Know
Service Industry,Business Application,Enhancement,Multi,3GL,C#,222.0,222.0,2121.0,7.0,DB2,Yes
Electronics & Computers,Business Application,New Development,PC,4GL,Visual Basic,235.0,235.0,781.0,4.5,ORACLE,Don't Know
Government,Business Application,Enhancement,Multi,3GL,COBOL,205.0,205.0,8442.0,12.0,IMS,Yes
Communication,Business Application,Enhancement,PC,4GL,Oracle,390.0,406.0,5639.0,7.0,ORACLE,Yes
Insurance,Business Application,New Development,MF,3GL,COBOL,161.0,161.0,9808.0,8.4,IMS,Don't Know
Insurance,Business Application,Enhancement,MF,3GL,COBOL,150.0,150.0,2218.0,5.0,IMS,Don't Know
Government,Business Application,Re-development,MF,3GL,COBOL,609.0,713.0,16570.0,8.0,DB2,Yes
Banking,Business Application,New Development,MF,3GL,COBOL,64.0,64.0,1073.0,1.0,IMS,Yes
Government,Business Application,Enhancement,Multi,3GL,C#,414.0,414.0,2274.0,8.0,DB2,Yes
Financial,Business Application,Enhancement,PC,3GL,C++,938.0,1050.0,11022.0,12.0,ORACLE,Yes
Financial,Business Application,New Development,Multi,4GL,Visual Basic,476.0,476.0,64.0,6.9,SYBASE,Don't Know
Government,Business Application,Enhancement,Multi,4GL,ABAP,285.0,285.0,2973.0,8.0,DB2,Yes
Construction,Business Application,New Development,Multi,4GL,Lotus Notes,155.0,155.0,484.0,1.5,Domino,Don't Know
Government,Business Application,Enhancement,Multi,4GL,Visual Studio .Net,153.0,153.0,1882.0,7.0,DB2,Yes
Government,Business Application,New Development,Multi,3GL,Visual Basic,307.0,307.0,11165.0,15.0,MS SQL,Yes
Communication,Business Application,Enhancement,MR,4GL,SQL,157.0,182.0,1000.0,5.0,ORACLE,Yes
Government,Business Application,Enhancement,MF,3GL,PL/I,545.0,545.0,8740.0,11.0,DB2,Yes
Wholesale & Retail,Business Application,New Development,Multi,3GL,PL/SQL,298.0,298.0,1950.0,7.0,ORACLE,Don't Know
Financial,Business Application,New Development,Multi,4GL,PowerBuilder,281.0,281.0,4030.0,3.0,ORACLE,Don't Know
Communication,Business Application,Enhancement,MF,3GL,COBOL,27.0,27.0,810.0,4.0,DB2,Yes
Government,Business Application,Enhancement,MF,3GL,COBOL,34.0,33.0,165.0,2.0,DB2,Yes
Government,Business Application,Enhancement,Multi,3GL,C#,960.0,960.0,9261.0,7.0,DB2,Yes
Government,Business Application,Enhancement,Multi,4GL,ABAP,381.0,381.0,22460.0,12.0,DB2,Yes
Manufacturing,Business Application,New Development,PC,4GL,ASP,242.0,242.0,626.0,2.5,ORACLE,Yes
Insurance,Business Application,Enhancement,MF,3GL,Visual Basic,223.0,223.0,6111.0,3.0,DB2,Don't Know
Government,Business Application,New Development,Multi,4GL,Datastage,331.0,331.0,4172.0,33.0,DB2,Yes
Insurance,Business Application,Enhancement,MF,3GL,PL/I,124.0,124.0,3639.0,9.0,DB2,Yes
Service Industry,Business Application,Enhancement,Multi,3GL,PL/I,121.0,121.0,2706.0,9.0,DB2,Yes
Government,Business Application,Enhancement,Multi,3GL,PL/I,455.0,455.0,9301.0,14.0,DB2,Yes
Banking,Business Application,Enhancement,MF,3GL,PL/I,395.0,395.0,703.0,13.0,DB2,Don't Know
Government,Business Application,Enhancement,Multi,3GL,PL/I,234.0,234.0,5103.0,10.0,DB2,Yes
Service Industry,Business Application,Enhancement,Multi,4GL,ABAP,180.0,180.0,3069.0,4.0,DB2,Yes
Financial,Business Application,Enhancement,Multi,3GL,C#,125.0,125.0,694.0,6.0,DB2,Yes
Banking,Real-Time Application,Enhancement,PC,3GL,C,29.0,29.0,79.0,6.0,Yes,Don't Know
Service Industry,Business Application,New Development,Multi,3GL,JavaScript,399.0,399.0,7037.0,8.0,DB2,Yes
Insurance,Business Application,Enhancement,MF,3GL,Visual Basic,167.0,167.0,6398.0,3.0,DB2,Don't Know
Communication,Business Application,Enhancement,MR,3GL,C,115.0,115.0,2592.0,6.0,SYBASE,Don't Know
Banking,Business Application,New Development,MF,3GL,COBOL,499.0,499.0,10613.0,30.0,Foxpro,Yes
Insurance,Business Application,Enhancement,MR,3GL,Java,149.0,149.0,11052.0,7.0,DB2,Don't Know
Communication,Business Application,Enhancement,Multi,4GL,Visual Basic,746.0,746.0,2909.0,5.5,ORACLE,Don't Know
Service Industry,Business Application,New Development,MR,4GL,SQL,2245.0,2245.0,18314.0,12.0,ORACLE,Don't Know
Banking,Business Application,Enhancement,MF,3GL,PL/I,152.0,152.0,6294.0,12.1,IMS,Don't Know
Manufacturing,Business Application,New Development,Multi,4GL,Visual Basic,302.0,302.0,1406.0,8.4,ORACLE,Don't Know
Government,Business Application,New Development,MF,3GL,COBOL,287.0,287.0,2284.0,7.0,DB2,Yes
Electronics & Computers,Business Application,New Development,PC,3GL,Java,218.0,218.0,1562.0,4.9,ORACLE,Don't Know
Insurance,Business Application,Enhancement,MF,3GL,COBOL,49.0,49.0,423.0,7.0,Unspecified,Don't Know
Government,Business Application,Enhancement,Multi,4GL,Datastage,117.0,117.0,846.0,10.0,DB2,Yes
Government,Business Application,Enhancement,Multi,3GL,C#,254.0,254.0,1550.0,5.0,DB2,Yes
Communication,Business Application,Enhancement,MR,4GL,SQL,94.0,98.0,1313.0,11.0,ORACLE,Yes
Government,Infrastructure Software,Enhancement,PC,4GL,.Net,211.0,211.0,3566.0,13.0,DB2,Yes
Government,Business Application,New Development,PC,3GL,C#,74.0,74.0,3995.0,14.0,DB2,Yes
Communication,Business Application,New Development,Multi,4GL,Oracle,357.0,357.0,490.0,1.8,ORACLE,Don't Know
Government,Business Application,New Development,Multi,3GL,C#,2550.0,2550.0,34947.0,18.0,DB2,Yes
Insurance,Business Application,Enhancement,MF,3GL,COBOL,385.0,385.0,5138.0,3.0,DB2,Don't Know
Government,Business Application,New Development,Multi,3GL,C#,393.0,393.0,19163.0,20.0,DB2,Yes
Insurance,Business Application,Enhancement,MR,3GL,Java,49.0,49.0,3112.0,4.0,DB2,Don't Know
Communication,Business Application,New Development,Multi,4GL,DELPHI,160.0,160.0,493.0,3.3,Yes,Don't Know
Insurance,Business Application,Enhancement,Multi,4GL,Visual Basic,463.0,463.0,2303.0,2.0,MS SQL,Don't Know
Government,Business Application,Enhancement,PC,3GL,C/AL,2289.0,2289.0,3394.0,9.0,Attain,Yes
Manufacturing,Business Application,Enhancement,Multi,3GL,PL/SQL,494.0,494.0,806.0,4.4,ORACLE,Don't Know
Manufacturing,Business Application,New Development,Multi,4GL,Visual Basic,609.0,609.0,2202.0,6.0,ORACLE,Don't Know
Communication,Business Application,Enhancement,PC,3GL,Java,95.0,95.0,144.0,0.4,ORACLE,Don't Know
Insurance,Business Application,New Development,MF,3GL,COBOL,302.0,284.0,12805.0,10.0,DB2,Yes
Government,Business Application,Enhancement,Multi,3GL,Java,621.0,621.0,4656.0,8.0,ORACLE,Yes
Government,Infrastructure Software,Enhancement,Multi,4GL,ABAP,825.0,825.0,6433.0,13.0,DB2,Yes
Insurance,Business Application,Enhancement,MF,3GL,Visual Basic,147.0,147.0,6062.0,4.0,DB2,Don't Know
Communication,Real-Time Application,Enhancement,PC,3GL,C,215.0,234.0,1994.0,4.0,ORACLE,Yes
Service Industry,Business Application,New Development,Multi,3GL,C,484.0,484.0,3592.0,9.4,ORACLE,Don't Know
Insurance,Business Application,Enhancement,Multi,3GL,Visual Basic,582.0,582.0,9264.0,3.0,Unspecified,Don't Know
Insurance,Business Application,Enhancement,MF,3GL,Visual Basic,291.0,291.0,8371.0,2.9,DB2,Don't Know
Government,Business Application,New Development,MF,3GL,COBOL,659.0,712.0,16669.0,9.0,DB2,Yes
Communication,Business Application,Enhancement,MR,3GL,Java,118.0,136.0,1516.0,6.0,ORACLE,Yes
Insurance,Business Application,Enhancement,MF,3GL,COBOL,80.0,80.0,210.0,3.0,Yes,Don't Know
Service Industry,Business Application,New Development,MR,4GL,SQL,1956.0,1956.0,13728.0,12.0,ORACLE,Don't Know
Government,Business Application,Enhancement,MF,3GL,COBOL,126.0,126.0,12341.0,16.8,IMS,Yes
Insurance,Business Application,Enhancement,Multi,3GL,Visual Basic,201.0,201.0,5232.0,4.0,No,Don't Know
Government,Business Application,New Development,MF,3GL,COBOL,34.0,36.0,450.0,5.0,DB2,Yes
Banking,Business Application,Enhancement,MF,3GL,PL/I,75.0,75.0,496.0,4.0,IMS,Yes
Service Industry,Mathematically-Intensive Application,Re-development,Multi,3GL,C#,354.0,354.0,5841.0,10.0,MS SQL,Yes
Communication,Business Application,New Development,PC,3GL,Java,578.0,578.0,5226.0,4.0,ORACLE,Don't Know
Electronics & Computers,Business Application,Enhancement,Multi,3GL,C#,140.0,140.0,3064.0,6.0,MS SQL,Yes
Insurance,Business Application,Enhancement,MF,3GL,COBOL,97.0,97.0,4245.0,2.0,DB2,Don't Know
Insurance,Business Application,Enhancement,MF,3GL,Visual Basic,119.0,119.0,3337.0,4.0,DB2,Don't Know
Manufacturing,Business Application,Enhancement,MF,4GL,Lotus Notes,238.0,238.0,2187.0,15.0,Domino,Yes
Banking,Business Application,Enhancement,MF,3GL,COBOL,203.0,203.0,3219.0,5.0,IMS,Yes
Manufacturing,Business Application,New Development,Multi,4GL,Lotus Notes,639.0,639.0,2420.0,4.9,Domino,Don't Know
Financial,Business Application,New Development,PC,4GL,PowerBuilder,461.0,558.0,4112.0,6.0,ACCESS,Yes
Banking,Business Application,Enhancement,MF,3GL,PL/I,75.0,75.0,465.0,4.9,IMS,Yes
Communication,Business Application,Enhancement,MF,3GL,Java,860.0,998.0,1292.0,8.0,ORACLE,Yes
Government,Infrastructure Software,New Development,MF,4GL,ABAP,360.0,360.0,13390.0,12.0,ORACLE,Yes
Manufacturing,Business Application,New Development,Multi,4GL,Lotus Notes,287.0,287.0,3430.0,9.6,Domino,Don't Know
Government,Business Application,Enhancement,Multi,3GL,PL/I,382.0,382.0,6124.0,11.0,Unspecified,Yes
Banking,Business Application,New Development,PC,4GL,Visual Basic,247.0,247.0,1757.0,6.0,ACCESS,No
Service Industry,Business Application,New Development,Multi,3GL,C#,277.0,277.0,6809.0,9.0,No,Yes
Insurance,Business Application,Enhancement,Multi,4GL,Visual Basic,437.0,437.0,1520.0,3.0,ORACLE,Don't Know
Service Industry,Business Application,Enhancement,Multi,3GL,PL/I,148.0,148.0,2100.0,12.0,DB2,Yes
Government,Business Application,Enhancement,MF,3GL,PL/I,111.0,111.0,2200.0,13.0,DB2,Yes
Government,Business Application,New Development,Multi,3GL,C#,242.0,242.0,6057.0,10.0,DB2,Yes
Manufacturing,Business Application,Enhancement,PC,3GL,C,659.0,659.0,2479.0,5.5,MS SQL,Yes
Service Industry,Business Application,Enhancement,Multi,3GL,PL/I,87.0,87.0,1100.0,12.0,DB2,Yes
Professional Services,Business Application,New Development,Multi,4GL,PowerBuilder,616.0,616.0,5080.0,8.8,ORACLE,Don't Know
Government,Business Application,New Development,Multi,3GL,PL/I,993.0,993.0,46101.0,87.0,DB2,Yes
Financial,Business Application,Enhancement,MF,3GL,PL/I,459.0,491.0,11078.0,15.0,DB2,Yes
Banking,Business Application,New Development,MF,4GL,EASYTRIEVE,196.0,196.0,3195.0,6.0,IMS,Yes
Communication,Business Application,Enhancement,MF,3GL,Java,774.0,898.0,2372.0,6.0,ORACLE,Yes
Government,Business Application,Enhancement,PC,4GL,Visual Basic,144.0,144.0,1246.0,6.0,MS SQL,Yes
Electronics & Computers,Business Application,Enhancement,Multi,4GL,Oracle,110.0,110.0,17550.0,2.0,ORACLE,Don't Know
Banking,Business Application,New Development,MF,4GL,Visual Basic,267.0,286.0,1727.0,6.0,IMS,No
Insurance,Business Application,Enhancement,Multi,3GL,Visual Basic,146.0,146.0,5419.0,5.9,Unspecified,Don't Know
Service Industry,Business Application,Enhancement,Multi,4GL,ABAP,198.0,198.0,8012.0,11.0,No,Yes
Government,Business Application,New Development,MF,3GL,PL/I,303.0,303.0,8490.0,6.0,DB2,Yes
Government,Business Application,Enhancement,Multi,4GL,ABAP,122.0,122.0,902.0,8.0,DB2,Yes
Insurance,Business Application,Enhancement,MF,3GL,COBOL,264.0,264.0,686.0,6.0,IMS,Don't Know
Government,Business Application,New Development,Multi,3GL,Java,230.0,230.0,1248.0,6.0,ORACLE,Yes
Banking,Business Application,New Development,MR,3GL,Pro*C,344.0,344.0,13171.0,10.0,ORACLE,Don't Know
Banking,Business Application,Enhancement,MR,3GL,C++,2099.0,2099.0,17400.0,5.0,HIRDB,Don't Know
Service Industry,Business Application,Enhancement,Multi,3GL,PL/I,61.0,61.0,1488.0,12.0,DB2,Yes
Service Industry,Business Application,New Development,MF,3GL,COBOL,619.0,619.0,3995.0,6.0,Unspecified,Don't Know
Insurance,Business Application,Enhancement,MF,3GL,Visual Basic,288.0,288.0,8889.0,3.0,DB2,Don't Know
Government,Business Application,Enhancement,MF,3GL,COBOL,63.0,64.0,888.0,2.0,DB2,Yes
Government,Business Application,Enhancement,Multi,3GL,PL/I,294.0,294.0,13326.0,14.0,DB2,Yes
Professional Services,Business Application,New Development,MR,3GL,Java,633.0,633.0,5885.0,3.9,ORACLE,Don't Know
Manufacturing,Business Application,New Development,Multi,3GL,PL/SQL,2189.0,2189.0,11082.0,10.0,ORACLE,Don't Know
Communication,Real-Time Application,Enhancement,MR,3GL,C,211.0,237.0,3201.0,9.0,ORACLE,No
Government,Business Application,Enhancement,MF,3GL,COBOL,601.0,679.0,1193.0,8.0,DB2,Yes
Utilities,Business Application,New Development,MF,4GL,SQL,605.0,666.0,752.0,13.0,DB2,Yes
Insurance,Business Application,New Development,MF,3GL,COBOL,96.0,96.0,4550.0,3.0,IMS,Yes
Government,Business Application,New Development,Multi,3GL,Java,234.0,234.0,2640.0,7.0,ORACLE,Yes
Communication,Business Application,Enhancement,MR,4GL,SQL,85.0,88.0,2299.0,6.0,ORACLE,Yes
Government,Business Application,Enhancement,PC,4GL,Visual Basic,186.0,186.0,953.0,6.0,MS SQL,Yes
Government,Business Application,New Development,Multi,3GL,C#,313.0,313.0,5613.0,27.0,DB2,Yes
Service Industry,Business Application,Enhancement,Multi,4GL,ABAP,211.0,211.0,4393.0,8.0,DB2,Yes
Insurance,Business Application,Enhancement,Multi,3GL,Visual Basic,222.0,222.0,8902.0,3.0,Unspecified,Don't Know
Communication,Business Application,Enhancement,Multi,3GL,C,727.0,727.0,1406.0,3.0,SYBASE,Don't Know
Service Industry,Infrastructure Software,Enhancement,PC,3GL,C/AL,349.0,349.0,3703.0,8.0,Attain,Yes
Construction,Business Application,New Development,Multi,4GL,Visual Basic,2248.0,2248.0,13299.0,9.0,ORACLE,Don't Know
Government,Business Application,Enhancement,PC,4GL,PowerBuilder,285.0,285.0,3942.0,15.0,ORACLE,Yes
Banking,Business Application,New Development,MF,4GL,EASYTRIEVE,103.0,103.0,759.0,7.0,IMS,Yes
Government,Business Application,Enhancement,Multi,3GL,Java,156.0,156.0,1216.0,10.0,ORACLE,Yes
Wholesale & Retail,Business Application,New Development,MF,ApG,TELON,511.0,506.0,3500.0,9.0,IMS,Yes
Manufacturing,Business Application,Enhancement,MF,3GL,COBOL,987.0,987.0,1120.0,1.1,IMS,Don't Know
Medical & Health Care,Business Application,Enhancement,Multi,3GL,PL/SQL,1040.0,1040.0,4357.0,10.0,ORACLE,Don't Know
Electronics & Computers,Business Application,New Development,MF,4GL,Visual Basic,360.0,360.0,963.0,2.8,MS SQL,Don't Know
Electronics & Computers,Business Application,New Development,PC,4GL,ASP,360.0,360.0,2450.0,6.0,MS SQL,Don't Know
Communication,Business Application,New Development,Multi,4GL,Visual Basic,992.0,992.0,7800.0,13.0,MS SQL,Don't Know
Manufacturing,Business Application,New Development,Multi,4GL,Visual Basic,236.0,236.0,1350.0,5.0,Exchange,Don't Know
Insurance,Business Application,Enhancement,MF,3GL,COBOL,374.0,374.0,5072.0,2.9,DB2,Don't Know
Government,Business Application,New Development,PC,4GL,DELPHI,98.0,119.0,438.0,1.0,DB2,Yes
Government,Business Application,New Development,PC,4GL,Lotus Notes,289.0,306.0,3521.0,11.0,Domino,Yes
Insurance,Business Application,Enhancement,Multi,3GL,Visual Basic,369.0,369.0,8770.0,3.5,Unspecified,Don't Know
Government,Business Application,Enhancement,MF,3GL,PL/I,128.0,128.0,595.0,4.0,DB2,Yes
Communication,Business Application,Enhancement,PC,4GL,Oracle,81.0,84.0,2738.0,10.0,ORACLE,Yes
Insurance,Business Application,New Development,PC,3GL,Java,24.0,17.0,167.0,1.5,No,Yes
Government,Business Application,New Development,Multi,3GL,Java,649.0,649.0,4880.0,9.0,ORACLE,Yes
Communication,Business Application,Enhancement,MR,4GL,SQL,84.0,73.0,1121.0,6.0,ORACLE,No
Insurance,Business Application,Enhancement,Multi,3GL,Visual Basic,524.0,524.0,9247.0,3.0,No,Don't Know
Communication,Real-Time Application,Enhancement,PC,4GL,ASP,1157.0,1157.0,3998.0,8.9,ORACLE,Don't Know
Insurance,Business Application,Enhancement,MF,3GL,COBOL,263.0,263.0,5461.0,2.0,DB2,Don't Know
Government,Business Application,New Development,Multi,4GL,ABAP,183.0,183.0,7327.0,21.0,No,Yes
Communication,Business Application,New Development,MF,3GL,RPG,82.0,82.0,700.0,2.0,DB2,Yes
Insurance,Business Application,Enhancement,MF,3GL,COBOL,142.0,185.0,6416.0,16.0,DB2,Yes
Insurance,Business Application,Enhancement,MF,3GL,COBOL,84.0,84.0,1078.0,4.0,IMS,Don't Know
Medical & Health Care,Business Application,New Development,MR,3GL,C++,1240.0,1241.0,10222.0,15.0,WGRES,Yes
Financial,Business Application,New Development,Multi,4GL,Access,400.0,400.0,1015.0,2.9,ACCESS,Don't Know
Utilities,Real-Time Application,New Development,PC,3GL,C,1512.0,1285.0,1200.0,16.5,DB2,Yes
Service Industry,Business Application,Enhancement,Multi,4GL,ABAP,327.0,327.0,3899.0,14.0,ORACLE,Yes
Government,Business Application,Re-development,Multi,3GL,Visual Basic,447.0,447.0,29246.0,35.0,No,Yes
Manufacturing,Business Application,New Development,Multi,4GL,OutlookVBA,410.0,410.0,563.0,3.8,Exchange,Don't Know
Government,Business Application,Enhancement,Multi,3GL,COBOL,163.0,163.0,5985.0,10.0,IMS,No
Insurance,Business Application,Enhancement,MF,3GL,COBOL,128.0,128.0,2790.0,3.0,IMS,Yes
Mining,Business Application,New Development,MR,4GL,COBOL,672.0,753.0,4301.0,12.0,ORACLE,Yes
Service Industry,Business Application,Re-development,PC,3GL,C#,421.0,421.0,16788.0,15.5,DB2,Yes
Communication,Business Application,Enhancement,Multi,4GL,Visual Basic,444.0,444.0,800.0,2.5,ORACLE,Yes
Wholesale & Retail,Business Application,New Development,Multi,3GL,Pro*C,35.0,35.0,366.0,3.1,ORACLE,Don't Know
Service Industry,Business Application,Enhancement,PC,3GL,C#,74.0,74.0,3132.0,17.0,DB2,Yes
Insurance,Business Application,Enhancement,MF,3GL,COBOL,578.0,578.0,6309.0,3.0,DB2,Don't Know
Insurance,Business Application,Enhancement,MF,3GL,COBOL,40.0,40.0,859.0,5.0,IMS,Don't Know
Utilities,Business Application,New Development,MF,ApG,TELON,959.0,1093.0,7263.0,11.0,DB2,Yes
Insurance,Business Application,Enhancement,Multi,3GL,Visual Basic,671.0,671.0,8325.0,3.5,Unspecified,Don't Know
Service Industry,Business Application,Enhancement,Multi,3GL,PL/SQL,451.0,451.0,4810.0,5.8,ORACLE,Yes
Government,Business Application,Enhancement,Multi,4GL,ABAP,236.0,236.0,1076.0,4.0,DB2,Yes
Communication,Business Application,Enhancement,Multi,3GL,COBOL,90.0,109.0,310.0,7.0,ORACLE,Yes
Service Industry,Business Application,New Development,Multi,4GL,C#,411.0,411.0,10955.0,15.0,DB2,Yes
Insurance,Business Application,Enhancement,MF,3GL,Visual Basic,310.0,310.0,6160.0,3.0,DB2,Don't Know
Manufacturing,Business Application,New Development,Multi,4GL,Visual Basic,2181.0,2181.0,11853.0,10.0,ORACLE,Don't Know
Government,Business Application,New Development,Multi,4GL,Oracle,370.0,370.0,1562.0,4.6,ORACLE,Don't Know
Insurance,Business Application,Enhancement,PC,4GL,AB INITIO,59.0,44.0,744.0,6.0,ORACLE,Yes
Professional Services,Business Application,New Development,Multi,4GL,Visual Basic,66.0,66.0,310.0,2.0,ACCESS,Don't Know
Banking,Business Application,Enhancement,MF,3GL,PL/I,16.0,16.0,843.0,3.0,DB2,Don't Know
Financial,Business Application,Enhancement,MF,4GL,SQL,204.0,204.0,772.0,5.0,MS SQL,Yes
Insurance,Business Application,Enhancement,Multi,3GL,Visual Basic,279.0,279.0,3548.0,3.0,Unspecified,Don't Know
Manufacturing,Business Application,New Development,Multi,4GL,OutlookVBA,295.0,295.0,713.0,4.7,Exchange,Don't Know
Communication,Business Application,Enhancement,Multi,3GL,C,1136.0,1136.0,2811.0,3.0,SYBASE,Don't Know
Insurance,Business Application,New Development,Multi,3GL,Visual Basic,343.0,343.0,4006.0,3.0,MS SQL,Don't Know
Banking,Business Application,New Development,MF,4GL,EASYTRIEVE,190.0,190.0,2537.0,7.0,DB2,Yes
Government,Business Application,Enhancement,MF,3GL,COBOL,80.0,67.0,352.0,2.0,DB2,Yes
Communication,Business Application,Enhancement,MR,3GL,Java,95.0,93.0,1101.0,8.0,ORACLE,Yes
Financial,Business Application,Enhancement,PC,3GL,C++,1569.0,1757.0,13282.0,12.0,ORACLE,Yes
Utilities,Business Application,New Development,MR,4GL,SQL,1674.0,1825.0,1210.0,15.0,ORACLE,Yes
Electronics & Computers,Business Application,New Development,Multi,4GL,Visual Basic,268.0,268.0,1093.0,6.9,ORACLE,Don't Know
Government,Business Application,New Development,Multi,4GL,ABAP,860.0,860.0,18825.0,21.0,DB2,Yes
Banking,Business Application,Enhancement,MF,3GL,PL/I,18.0,18.0,3002.0,13.0,DB2,Don't Know
Communication,Business Application,New Development,Multi,3GL,Visual Basic,98.0,98.0,1562.0,3.1,MS SQL,Don't Know
Service Industry,Business Application,Enhancement,MF,3GL,PL/I,1806.0,1806.0,1716.0,12.0,Yes,Don't Know
Insurance,Business Application,Enhancement,MF,3GL,COBOL,632.0,632.0,8950.0,15.0,DB2,Yes
Medical & Health Care,Business Application,New Development,Multi,4GL,Visual Basic,564.0,564.0,1835.0,6.0,ACCESS,Don't Know
Government,Business Application,Enhancement,MF,3GL,PL/I,474.0,474.0,1829.0,6.0,DB2,Yes
Insurance,Business Application,Enhancement,MF,3GL,COBOL,400.0,400.0,3334.0,5.0,IMS,Don't Know
