ISBSG Project ID;Data Quality Rating;UFP rating;Year of Project;Industry Sector;Organisation Type;Application Group;Application Type;Development Type;Development Platform;Language Type;Primary Programming Language;Count Approach;Functional Size;Relative Size;Adjusted Function Points;Value Adjustment Factor;Normalised Work Effort Level 1;Normalised Work Effort;Summary Work Effort;Normalised Level 1 PDR (ufp);Normalised PDR (ufp);Pre 2002 PDR (afp);Defect Density;Speed of Delivery;Manpower Delivery Rate;Project Elapsed Time;Project Inactive Time;Implementation Date;Project Activity Scope;Effort Plan;Effort Specify;Effort Design;Effort Build;Effort Test;Effort Implement;Effort Unrecorded;Minor Defects;Major Defects;Extreme Defects;Total Defects Delivered;Business Area Type;Software Process CMM;Software Process CMMI;Software Process SPICE;Software Process ISO;Software Process TICKIT;Software Process Other;Package Customisation;Degree of Customisation;Architecture;Client Server?;Client Roles;Server Roles;Type of Server;Client/Server Description;Web Development;Development Methodologies;Development Techniques;JAD Method Used;Prototyping Used;Planning Documents;Specification Documents;Specification Techniques;Design Documents;Design Techniques;Build Products;Build Activity;Test Documents;Test Activity;Implement Documents;Implement Activity;Functional Sizing Technique;FP Standard;FP Standards All;Reference Table Approach;1st Hardware;1st Language;1st Operating System;Integrated Development Environment;1st Debugging Tool;1st Data Base System;1st Component Server;1st Web Server;1st Message Server;1st Other Platform;2nd Hardware;2nd Language;2nd Operating System;2nd Data Base System;2nd Component Server;2nd Web Server;2nd Message Server;2nd Other Platform;CASE Tool Used;Used Methodology;How Methodology Acquired;User Base - Business Units;User Base - Locations;User Base - Distinct Users;User Base - Concurrent Users;Intended Market;Target Platform;Device Embedded;Recording Method;Resource Level;Team Size Group;Max Team Size;Average Team Size;Ratio of Project Work Effort to Non-Project Activity;Percentage of Uncollected Work Effort;Input count;Output count;Enquiry count;File count;Interface count;Added count;Changed count;Deleted count;COSMIC Entry;COSMIC Exit;COSMIC Read;COSMIC Write;Lines of Code;Lines of Code not Statements;Other Size Units
16936;B;C;2006;;;Business Application;"Financial transaction process/accounting;";Enhancement;Multi;3GL;Java;IFPUG 4+;;3. S;51;;301;301;301;;;5,9;;;;1,7;;2006;;;;;;;;301;;;;;;;;;;;;;;;;;;;;Web;"Waterfall (includes Linear Processing);";;;;;;;;;;;;;;;;IFPUG;"IFPUG;";;;"Java / similar;";;;;"Interactive;";;;;"Web e-bus;";;;;;;;;;;Yes;;;;;;;;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
16941;B;A;2001;Service Industry;"Transport & Storage;";Business Application;"Production management system;";New Development;Multi;4GL;Visual Basic;IFPUG 4+;308;5. M2;308;;772;772;718;2,5;2,5;2,3;;154;;2;0;01-ene-01;"Planning;Specification;Build;Test;";;;;;;;718;;;;;"Don't Know;";;;;;;;No;;Multi-tier / Client server;Yes;;;;"C/S;";;"Waterfall (includes Linear Processing);";;;;;;;;;;;;;;;;Addendum to existing standards;"Addendum to existing standards;";"Don't Know;";"PC;";"VBA;";"Windows NT 4.0;";;;"RDB;";;;;;;;;;;;;;No;Don't Know;;;;;;;;;Staff hours (derived);1;;;;100%;under 5%;79;98;20;56;55;308;;;;;;;;;
16957;B;B;2006;Government;"Government;Public Administration (Revenue);";Business Application;"Management or performance reporting;Online analysis and reporting;Telecom & network management;";Enhancement;PC;3GL;C;IFPUG 4+;489;5. M2;489;;4589;4589;4360;9,4;9,4;8,9;;116,4;16,6;4,2;;;"Planning;Specification;Design;Build;Test;";48;96;480;3256;480;;0;;;;;"Financial (Banking, Insurance, Stock);";;;;;;;;;Client server;Yes;;;;"Client-server Architecture;";;"Waterfall (includes Linear Processing);";;;;;;"Specification Review;";;"Structured Design;Design Review/Inspection;";;;;;;;;IFPUG FP;"IFPUG FP;";;;"C;";"Windows;";"Softice;";;;;;;;;;;;;;;;;Yes;"Developed In-house;";;;;;"Customer & users 1 org, team in another;";;;Staff hours (recorded);1;05-ago;7;3;;;;;;;;;;;;;;;;;
16959;B;B;2003;Communication;"Communications;";Business Application;"Business;Catalogue/register of things or events;";Enhancement;MF;3GL;PL/SQL;NESMA;425;5. M2;425;;666;1041;666;1,6;2,4;1,6;;106,3;;4;;;"Design;Build;Test;";;;;;;;666;;;;;;;;;;;;;;Client server;Yes;;;;;;;;;;"Budget;Project Schedule;Resource Plan;";"Logical Data/ER Model;Functional Specification;";;"Database/Data File Design;Detailed Design Documents;Software Interface Designs;";;"Source Code/Objects;Unit Test Plans/Designs;Database Objects;";;"Test Plans/Designs;Test Data;Incident/Defect Lists;";;"Installation Procedures;Release Description/Notes;Incident/Defect Lists;Operation/Admin. Manual;Data Establishment Process;";;"Manual global;";NESMA 2.0;"NESMA 2.0;";;"Client/server;";"PL/SQL;";"UNIX;";;;"Oracle;";;;;;;;;;;;;;;Yes;"Developed In-house;";;;;;;;;Recorded hours on each project/day/week;1;;;;;;;;;;;;;;;;;;7.456;"LOC Count Method Estimated;";
16961;B;B;2010;Manufacturing;"Manufacturing;";Business Application;"Scheduling of work orders assembly lines;";Enhancement;MR;3GL;Java;IFPUG 4+;209;4. M1;209;;;2233;2054;;10,7;9,8;0;17,9;;11,7;;02-dic-10;"Specification;Design;Build;Test;Implement;";;;;;;;;;;;0;"Inbound Logistics;";;;;;;;No;;Client server;Yes;;;"Client server;";;;;;;;"Budget;Project Schedule;Proposal/Tender;";"Functional Specification;Requirements Specification;Use Case Model;External/System Interface Specifications;";;;;"Source Code/Objects;Database Objects;";"Unit Testing;Software Integration;";"Test Plans/Designs;Incident/Defect Lists;Test Data;";;;;"Wholly manual;";Addendum to existing standards;"IFPUG 4.1;Addendum to existing standards;";;;"Java;JEE;";"UNIX;";;;"Oracle;";;;;;;;;;;;;;Yes;Yes;"Developed In-house;";;;;;"Purchased;";;;Staff hours (recorded);3;;;;;;;;;;;;;;;;;;;;
16962;B;B;2010;Manufacturing;"Manufacturing;";Business Application;"Purchasing;";Enhancement;MR;4GL;ABAP;IFPUG 4+;90;3. S;90;;;737;678;;8,2;7,5;11,1;31;;2,9;;29-sep-10;"Specification;Design;Build;Test;Implement;";;;;;;;;;;;1;"Purchasing & Supplier Relationship;";;;;;;;Yes;0%;Client server;Yes;;;"Client server;";;;;;;;"Budget;Project Schedule;Proposal/Tender;";"Functional Specification;Requirements Specification;Use Case Model;External/System Interface Specifications;";;;;"Source Code/Objects;Database Objects;";"Unit Testing;Software Integration;";"Test Plans/Designs;Incident/Defect Lists;Test Data;";;;;"Wholly manual;";Addendum to existing standards;"IFPUG 4.1;Addendum to existing standards;";;;"ABAP;";"Unix;";;;"Oracle;";;;;;;;;;;;;;;Yes;"Developed In-house;";;;;;"In House;Medium relationship;";;;Staff hours (recorded);;;;;;;;;;;;;;;;;;;;;
16964;B;C;2004;;;Business Application;"Financial application area;";New Development;Multi;3GL;Java;IFPUG 4+;;5. M2;313;;2723;2723;2723;;;8,7;;;;7,2;;;;;;;;;;2723;;;;;;;;;;;;;;Multi-tier with web public interface;;;;;"Web;";Web;;;;;;;;;;;;;;;;;IFPUG;"IFPUG;";;"Web;";"Java / J2EE;";;;;"Interactive;";;;;"Average Complexity;";;;;;;;;;;Yes;"Traditional;";;;;;;;;Staff hours (derived);1;;;;;;;;;;;;;;;;;;;;
16969;C;C;2006;;;;;New Development;Multi;4GL;ASP;IFPUG 4+;;;;;2030;2030;1888;;;;;;;4,2;;;"Planning;Specification;Design;Build;Test;";;;;;;;1888;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;IFPUG 4.0;"IFPUG 4.0;";;;"ASP.NET;";;;;;;;;;;;;;;;;;;;;;;;;;;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
16970;B;C;2006;;;Business Application;"Financial transaction process/accounting;";New Development;Multi;3GL;Java;IFPUG 4+;;4. M1;218;;3074;3074;3074;;;14,1;;;;8,9;;2006;;;;;;;;3074;;;;18;;;;;;;;;;;;;;;;Web;"Waterfall (includes Linear Processing);";;;;;;;;;;;;;;;;IFPUG;"IFPUG;";;;"Java / similar;";;;;"Interactive;";;;;"Web e-bus;";;;;;;;;;;Yes;;;;;;;;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
16971;A;;2003;Insurance;"Insurance;";Business Application;"insurance quotation;";Re-development;PC;4GL;Visual Basic;COSMIC;2090;6. L;2090;;10500;10500;10500;5;5;5;;116,1;19,4;18;0;12-sep-03;;;;;;;;10500;;;;;;;;;;;;;;Client server;Yes;"Web/HTML browser;";"Database server;HTML/web server;Object/component server;";;;Web;;;;;"Feasibility Study;Project Schedule;Quality Plan;Resource Plan;Risk Analysis;Software Development Plan;Vision/Objectives;";"Requirements Specification;Functional Specification;User Interface Prototype;Logical Data/ER Model;Data Flow Model;Use Case Model;External/System Interface Specifications;";;"System Architecture Spec;Technical Prototypes;Component Designs;Detailed Design Documents;Module/Unit/Class Designs;";"Unified Modelling Language (UML);Design Review/Inspection;";"Source Code/Objects;Database Objects;Graphics Items/Images;Information/Text Content;Unit Test Plans/Designs;Integration Scripts/Checklist;";"Unit Testing;Code Review/Inspection;Software Integration;System Integration;";"Test Plans/Designs;Test Scripts/Harnesses;Test Data;Incident/Defect Lists;";"Create & Run Automated Testing;Performance, Stress or Load Testing;";"Installation Procedures;Release Description/Notes;Incident/Defect Lists;Data Establishment Process;";;"Wholly manual;";COSMIC 2.2;"COSMIC 2.2;";;;"Visual Basic;ASP;";"Windows NT;";;"Numega tools;";"MS SQL 7;";"MS MTS;";"MS IIS;";"Lotus;";;;"COBOL;";"IBM Z/OS;";"DB2;";No;No;No;;No;Yes;"Developed In-house;";;100000;100000;999999;"Customer & team 1 org, users in another;";;;Recorded work on project tasks each day;1;05-ago;6;1,8;;Unable to estimate;;;;;;2077;;;908;933;160;76;;;
16979;B;C;2001;Banking;"Banking;";;;Enhancement;MR;3GL;C++;FiSMA;;4. M1;190;;1344;1344;1210;;;6,4;;;;3;;22-ene-01;"Specification;Design;Build;Test;Implement;";;100;400;500;200;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Automated by a tool;";FiSMA;"FiSMA;";;"Midrange;";"C++;";;;;;;;;;;;;;;;;;;Yes;;;;;;;;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
16981;B;C;2000;Communication;"Communications;";Real-Time Application;"Telecom & network management;";New Development;MR;3GL;C;IFPUG 4+;;6. L;1225;;3175;3175;2381;;;1,9;;;;;;1998 to 2000;"Planning;Specification;Build;";449;883;;1049;;;0;682;600;1272;2554;"Engineering;";;;;;;;No;;;Don't Know;;;;;;;"Data Modelling;";;;;;;;;;;;;;;"Wholly manual;";IFPUG;"IFPUG;";;"SUN;";"C;";"SOLARIS;";;Yes;Yes;;;;;;;;;;;;;No;No;;;;;;"External for external business unit;";;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
16982;B;A;2002;;;;;New Development;;;;IFPUG 4+;490;5. M2;490;1;4672;4672;4672;9,5;9,5;9,5;;98;;5;0;;"Build;Test;";;;;1104;1072;;2496;;;;;;;;;;;;Don't Know;;;;;;;;;;;;;;;;;;;;;;;;"Wholly manual;";"CPM4.0;Addendum to existing standards;";"CPM4.0;Addendum to existing standards;";"Don't Know;";;;;;;;;;;;;;;;;;;;Don't Know;Don't Know;;;;;;;;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
16985;B;C;2004;Financial;"Financial, Property & Business Services;";Business Application;"Financial transaction process/accounting;Client Server;";Enhancement;Multi;4GL;;IFPUG 4+;;4. M1;198;;1545;1545;1545;;;7,8;;;;5;0;30-ago-04;;;;;;;;1545;;;;;;;;;;;;;;Client server;Yes;;;;"Client Server;";;;;;;;;;;;;;;;;;;IFPUG;"IFPUG;";;"Client/server;";"4GL;";;;;;;;;;;;;;;;;;;Yes;;;;;;;;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
16987;B;B;2009;Manufacturing;"Manufacturing;";Business Application;"Technical Support  Information System;";Enhancement;Multi;4GL;Siebel;IFPUG 4+;38;3. S;38;;;1761;1761;;46,3;46,3;0;8,8;;4,3;;04-nov-09;"Specification;Design;Build;Test;Implement;";;;;;;;;;;;0;"After Sales & Services;";;;;;;;No;;Client server;Yes;;;"Client server;";;;;;;;"Budget;Project Schedule;Proposal/Tender;";"Functional Specification;Requirements Specification;Use Case Model;External/System Interface Specifications;";;;;"Source Code/Objects;Database Objects;";"Unit Testing;Software Integration;";"Test Plans/Designs;Incident/Defect Lists;Test Data;";;;;"Wholly manual;";Addendum to existing standards;"IFPUG 4.1;Addendum to existing standards;";;;"Siebel  i-script;";"UNIX;";;;"Oracle;";;;;;;;;;;;;;;Yes;"Developed In-house;";;;;;"Customer, users & team in same org;In House;";;;Staff hours (recorded);3;;;;;;;;;;;;;;;;;;;;
16990;B;;2004;Communication;"Telecommunication;";;"Embedded Systems;";Enhancement;PC;3GL;C;LOC;;;;;5333;5813;4800;;;;;;;10,1;;31-oct-04;;114;;288;2232;792;894;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"C;";"P2K Platform;";;;;;;;"% of language recorded 100%;";;;;;;;;;;;;;;;;;DE   (Mobile or Device Embedded);;Recorded hours on each project/day/week;4;;;;;;;;;;;;;;;;;;17.111;;
16992;B;B;2009;Manufacturing;"Manufacturing;";Business Application;"IT projet Management;";Enhancement;;4GL;Visual Basic;IFPUG 4+;74;3. S;74;;;374;374;;5,1;5,1;0;16,1;;4,6;;05-nov-09;"Specification;Design;Build;Test;Implement;";;;;;;;;;;;0;"General;";;;;;;;Yes;0%;Client server;Yes;;;"Client server;";;;;;;;"Budget;Project Schedule;Proposal/Tender;";"Functional Specification;Requirements Specification;Use Case Model;External/System Interface Specifications;";;;;"Source Code/Objects;Database Objects;";"Unit Testing;Software Integration;";"Test Plans/Designs;Incident/Defect Lists;Test Data;";;;;"Wholly manual;";IFPUG 4.1;"IFPUG 4.1;Addendum to existing standards;";;;"Visual Basic;";;;;"Oracle;";;;;;;;;;;;;;;Yes;"Developed In-house;";;;;;"Customer & team 1 org, users in another;Purchased;";;;Staff hours (recorded);3;;;;;;;;;;;;;;;;;;;;
16995;D;;2005;Electronics & Computers;"Software products;";;;New Development;PC;3GL;C;LOC;;;;;4062;3590;3306;;;;;;;18,1;;26-ago-05;;33;13;468;2087;1177;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"C;Java;";"Linux;";;;;;;;"% of 1st language 80% - % of 2nd language 20%;";;;;;;;;;;;;;;;;;;;Recorded hours on each project/day/week;4;;;;;;;;;;;;;;;;;;4.200;;
16997;B;A;1999;Insurance;"Insurance;";Business Application;"Financial transaction process/accounting;";Enhancement;MF;3GL;COBOL;IFPUG 4+;151;4. M1;151;;3540;3540;2655;23,4;23,4;17,6;;16,8;;9;0;30-dic-99;"Planning;Specification;Build;";;;;;;;2655;;;;;"Don't Know;";;;;;;;No;;;Don't Know;;;;;;"Waterfall (includes Linear Processing);";;;;;;;;;;;;;;;;Addendum to existing standards;"Addendum to existing standards;";"Don't Know;";"MF;";"COBOL/MVS;";"MVS;";;;"IMS;";;;;;;;;;;;;;No;Don't Know;;;;;;;;;Staff hours (derived);1;;;;100%;Unable to estimate;36;47;37;7;24;0;151;0;;;;;;;
16999;B;B;2007;Government;"Government;Defence;";Business Application;"Financial transaction process/accounting;";Enhancement;MF;3GL;COBOL;IFPUG 4+;45;3. S;45;;576;576;576;12,8;12,8;12,8;0;2,1;;21,6;;2007;;;;;;;;576;0;0;;0;;Software-CMM Level 3;;;;;;;;Stand alone;No;;;;;;;;;;;;;;;;;;;;;;IFPUG;"IFPUG;";;"Mainframe;";"COBOL;ASSEMBLER;";;;;;;;;"Reporting;";;;;;;;;;;Yes;;;;;;;;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
17004;C;A;1995;Defence;"Defence;";;;New Development;PC;3GL;C++;IFPUG 4+;1061;6. L;1072;1,01;15700;15700;15700;14,8;14,8;14,6;;44,2;;24;0;jun-95;;200;1500;;200;2800;11000;0;;;;;"Engineering;";;;;;;;No;;Stand alone;No;;;;;;;"Regression Testing;";;;;;;;;;;;;;;;IFPUG 4;"IFPUG 4;";;"IBM PC;";"C++;";"Windows for Workgroups;";;"MultiScope;";"PARADOX;";;;;;;;;;;;;;Yes;No;;16;16;;1;"In-house for external business unit;";;;Staff hours (recorded);1;;;;;;547;217;112;154;31;1061;;;;;;;;;
17005;A;B;2009;Electronics & Computers;"Computers & Software;";;;Enhancement;MF;3GL;PL/I;IFPUG 4+;28;2. XS;27;0,98;947;947;947;33,8;33,8;35,1;0;4,7;1,2;6;;22-jun-09;;0;56;151;522;160;58;0;;;;0;;;;;;;;;;Stand alone;;;;;;;;;;;;;;;;;"Unit Testing;";;"Integration Testing;";;;;IFPUG 4.2;"IFPUG 4.2;";;"IBM Mainframe;";"PL/1;";"IBM TPF;";;;"DB2;";;;;;;;;;;;;;;;;;;4;;;;;Staff hours (recorded);1;03-abr;4;;;;;;;;;;;;;;;;;;
17016;A;A;1999;Communication;"Communications;";Real-Time Application;"Telecom & network management;";Enhancement;;4GL;NATURAL;IFPUG 4+;270;4. M1;230;0,85;1451;1748;1451;5,4;6,5;6,3;;27;9;10;;jun-99;"Specification;Build;Test;";;;;;;;1451;;;;;"Telecommunications;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Manual supported by a tool;";IFPUG 4.0 & Addendum to existing standards;"Addendum to existing standards;";"Combined all tables into a single file;";;"NATURAL;";"MVS;";;;"DB2;";;;;;;;;;;;;;;No;;100;100;;250;"Outsourced for internal business unit;";;;Staff hours (recorded);1;03-abr;3;3;100%;;129;38;46;57;0;230;40;0;;;;;;;
17020;A;A;1999;Communication;"Communications;";Business Application;"Transaction/Production System;";Enhancement;;3GL;COBOL;IFPUG 4+;222;4. M1;242;1,09;310;375;310;1,4;1,7;1,3;;111;37;2;;jun-99;"Specification;Build;Test;";;;;;;;310;;;;;"Telecommunications;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Manual supported by a tool;";IFPUG 4.0 & Addendum to existing standards;"Addendum to existing standards;";"Combined all tables into a single file;";;"COBOL II;";;;;;;;;;;;;;;;;;;Yes;"Developed In-house;";;;;;"Outsourced for internal business unit;";;;Staff hours (recorded);1;03-abr;3;3;100%;;97;78;4;43;0;0;222;0;;;;;;;
17022;B;A;2000;Banking;"Banking;";;"Mission-critical system;";Enhancement;MF;2GL;Assembler;IFPUG 4+;128;4. M1;128;;558;558;458;4,4;4,4;3,6;;64;;2;0;01-sep-00;"Planning;Specification;Build;Implement;";;;;;;;458;;;;;"Don't Know;";;;;;;;No;;;Don't Know;;;;;;"Waterfall (includes Linear Processing);";;;;;;;;;;;;;;;;Addendum to existing standards;"Addendum to existing standards;";"Don't Know;";"MF;";"ASSEMBLER;";"MVS ESA;";;;"IMS;";;;;;;;;;;;;;No;Don't Know;;;;;;;;;Staff hours (derived);1;;;;100%;Unable to estimate;0;47;0;42;39;0;128;0;;;;;;;
17032;A;A;2000;Communication;"Communications;";Business Application;"Transaction/Production System;";Enhancement;MR;4GL;SQL;IFPUG 4+;103;4. M1;106;1,03;2946;2946;2445;28,6;28,6;23,1;;51,5;;2;;nov-00;"Specification;Build;Test;";;1051;;810;584;;0;;;;;"Telecommunications;";;;;;;;;;Stand alone;;;;;;;;"Business Area Modelling;Data Modelling;Process Modelling;";;;;;;;;;;;;;;"Manual supported by a tool;";IFPUG 4.0 & Addendum to existing standards;"Addendum to existing standards;";"Counted each table as a logical file;";"SUN;";"SQL;";"UNIX;";;;"Oracle;";;;;;;;;;;;;;;Yes;"Developed In-house;";;;;;"Outsourced for internal business unit;";;;Staff hours (recorded);1;;;;100%;;21;76;6;0;0;7;96;0;;;;;;;
17037;B;B;2009;Manufacturing;"Manufacturing;";Business Application;"Human Ressources;";Enhancement;;4GL;ABAP;IFPUG 4+;151;4. M1;151;;;869;869;;5,8;5,8;0;100,7;;1,5;;18-ago-09;"Specification;Design;Build;Test;Implement;";;;;;;;;;;;0;"Human Ressources;";;;;;;;Yes;0%;Client server;Yes;;;"Client server;";;;;;;;"Budget;Project Schedule;Proposal/Tender;";"Functional Specification;Requirements Specification;Use Case Model;External/System Interface Specifications;";;;;"Source Code/Objects;Database Objects;";"Unit Testing;Software Integration;";"Test Plans/Designs;Incident/Defect Lists;Test Data;";;;;"Wholly manual;";IFPUG 4.1;"IFPUG 4.1;Addendum to existing standards;";;;"ABAP;JEE;";;;;"Oracle;";;;;;;;;;;;;;;Yes;"Developed In-house;";;;;;"Customer & team 1 org, users in another;Purchased;";;;Staff hours (recorded);3;;;;;;;;;;;;;;;;;;;;
17038;B;C;2000;Insurance;"Insurance;";;;New Development;MF;3GL;PL/I;FiSMA;;4. M1;149;;375;375;375;;;2,5;;;;3;0;29-feb-00;;;;;;;;375;;;;;;;;;;;;;;;;;;;;;;"Pair testing;";;;;;;;;;;;;;;"Automated by a tool;";FiSMA;"FiSMA;";;"Mainframe;";"PL/I;";;;;;;;;;;;;;;;;;;Yes;;;;02-may;;"Outsourced for internal business unit;";;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
17046;B;A;2004;;;Business Application;"International;";Enhancement;;3GL;Visual Basic;IFPUG 4+;52;3. S;61;1,17;7072;7072;7072;136;136;115,9;;;;;;;;;;;;;;7072;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;IFPUG;"IFPUG;";;;"VB;";;;;;;;;;;;;;;;;;;;;;;;;;;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
17047;B;A;1995;Financial;"Financial, Property & Business Services;";Business Application;"Transaction/Production System;";New Development;PC;3GL;Visual Basic;IFPUG 4+;327;5. M2;327;1;2464;2464;2464;7,5;7,5;7,5;;23,4;11,7;14;;feb-95;;;;;;;;2464;;;;;"Financial (excluding Banking);";;;;;;;No;;Stand alone;;;;;;;;"Data Modelling;Prototyping;";;Yes;;;;;;;;;;;;"Manual supported by a tool;";In-house;"In-house;";"Counted each table as a logical file;";"PC 386;";"Visual Basic;";"MS DOS V5;";;;"MS Access;";;;;;;;;;;;;;Yes;Yes;"Developed In-house;";02-may;02-may;;<2;"In-house for external business unit;";;;'Productive' time only (recorded);1;2;2;;;;106;98;48;54;21;327;;;;;;;;;
17049;A;A;2007;Government;"Government;";Business Application;"Management of Licences and Permits;";Enhancement;MF;ApG;COOL:Gen;IFPUG 4+;204;4. M1;245;1,2;1334;1334;1214;6,5;6,5;5;0;16,1;;12,7;;feb-07;;;81;195;358;454;125;1;0;0;0;0;;;;;;;;;;Stand alone;;;;;;;;;;;"Yes - inhouse;";"Yes - inhouse;";;"Yes - inhouse;";;"Yes - inhouse;";;"Yes - inhouse;";;"Yes - inhouse;";;;IFPUG 4.2;"IFPUG 4.2;";;;"COOL:Gen;";;;;;;;;;;;;;;;;;;Yes;;;;;;;MF   (Mainframe);;Staff hours (recorded);1;;;;;;136;32;36;0;0;31;150;23;;;;;;;
17052;B;A;1991;Financial;"Financial, Property & Business Services;";;;New Development;MF;3GL;COBOL;IFPUG old;2777;6. L;2944;1,06;21625;21625;21625;7,8;7,8;7,3;;115,7;14,5;24;;jul-91;;;;;;;;21625;;;;;"Banking;";;;;;;;No;;Multi-tier;;;;;;;;;;;;;;;;;;;;;;;Dialog Manual (based on IFPUG 2);"Dialog Manual (based on IFPUG 2);";;"IBM 3090;IBM PS/2;";"COBOL;CT (for PS/2);";"MVS;";;;"VSAM;";;;;"CICS TP Monitor;";;;;;;;;;;;;;;;;;;;Staff hours (recorded);1;05-ago;8;;;Don't know effort on study;;;;;;;;;;;;;;;
17057;A;B;2004;Government;"Government;";Business Application;"Online analysis and reporting;Workflow support & management;";New Development;Multi;3GL;Java;IFPUG 4+;51;3. S;51;;664;664;664;13;13;13;;17;3,4;3;0;30-dic-04;"Planning;Specification;Design;Build;Test;Implement;";;;;;;;664;;;;;;;;;ISO 9002;;;;;Client server;Yes;"Data entry & validation;Device/equipment interface;Web/HTML browser;";"Database server;FTP server;HTML/web server;Mail server;Security/authentication;";;;Web;;;;;"Budget;Project Schedule;Risk Analysis;Software Development Plan;";"Requirements Specification;Functional Specification;System Analysis Report;Logical Data/ER Model;Use Case Model;External/System Interface Specifications;";;"Technical Specification;Detailed Design Documents;";;"Source Code/Objects;Database Objects;Unit Test Plans/Designs;Integration Scripts/Checklist;";"Unit Testing;Software Integration;System Integration;";"Test Plans/Designs;Test Data;";;"End user Manual or Help;Operation/Admin. Manual;";;"Manual supported by a tool;";IFPUG 4.1;"IFPUG 4.1;";"Combined all tables into a single file;";;"Java;";"HP-UX;";Yes;No;"Oracle;";;Yes;;;;;;;;;;;No;Yes;"Developed In-house;";500;1;;5;"Customer, users & team in same org;";;;Recorded hours on each project/day/week;1;05-ago;5;;70%;;0;31;0;0;20;51;;;;;;;;;
17058;B;A;1998;Insurance;"Insurance;";Business Application;"Financial transaction process/accounting;";New Development;Multi;3GL;COBOL;IFPUG 4+;190;4. M1;190;;6885;6885;6403;36,2;36,2;33,7;;17,6;;10,8;0;30-nov-98;"Planning;Specification;Build;Test;";;;;;;;6403;;;;;"Don't Know;";;;;;;;No;;Multi-tier / Client server;Yes;;;;"C/S;";;"Waterfall (includes Linear Processing);";;;;;;;;;;;;;;;;Addendum to existing standards;"Addendum to existing standards;";"Don't Know;";"PC;";"COBOL II;";"Windows NT 4.0;";;;"DB2;";;;;;;;;;;;;;No;Don't Know;;;;;;;;;Staff hours (derived);1;;;;100%;under 5%;;;;;;;;;;;;;;;
17061;B;C;2004;Financial;"Financial, Property & Business Services;";Business Application;"Financial transaction process/accounting;Client Server;";Enhancement;Multi;4GL;;IFPUG 4+;;3. S;39;;72;72;72;;;1,8;;;;2;0;15-jun-04;;;;;;;;72;;;;;;;;;;;;;;Client server;Yes;;;;"Client Server;";;;;;;;;;;;;;;;;;;IFPUG;"IFPUG;";;"Client/server;";"4GL;";;;;;;;;;;;;;;;;;;Yes;;;;;;;;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
17065;A;A;1994;Government;"Public Administration;";Business Application;"Management Information System;";Enhancement;MF;4GL;NATURAL;IFPUG old;31;3. S;31;1;370;370;237;11,9;11,9;7,6;0;5,2;5,2;6;;feb-94;;;;;203;34;;0;0;0;0;0;"Fine Enforcement;";;;;;;;No;;Stand alone;;;;;;;"Multifunctional Teams;";;;;;;;;;;;;;;;"Wholly manual;";IFPUG 3;"IFPUG 3;In-house;";"Counted each table as a logical file;";"FUJITSU;";"NATURAL 2.1;";"MSP;";;No;"ADABAS;";;;;;;;;;;;;;No;Yes;"Developed In-house;";1;>5;;>5;"In-house for internal business unit;";;;Staff hours (recorded);1;1;1;;;Don't know effort on study;10;14;0;7;0;4;27;0;;;;;;;
17076;B;A;2004;;;;;Enhancement;;3GL;COBOL;IFPUG 4+;187;4. M1;222;1,19;654;654;654;3,5;3,5;2,9;;64,5;;2,9;0;;;;;;;;;654;;;;;;;;;;;;;;;;;;;;Web;;;;;;;;;;;;;;;;;IFPUG;"IFPUG;";;;"COBOL II;C;Shell;SQL;";;;;;;;;"Web;";;;;;;;;;;;;;;;;;;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
